排名,升/降,学校名称,英文名称,省市,类型,总分,办学层次,学科水平,办学资源,师资规模与结构,人才培养,科学研究,服务社会,学术人才,重大项目与成果,国际竞争力
1,0,清华大学,Tsinghua University,北京,综合,969.2,37.9,74.3,39.4,48.7,343.0,88.0,37.9,90.8,129.1,80.1
2,0,北京大学,Peking University,北京,综合,855.3,36.1,72.9,25.9,49.2,315.7,88.0,12.8,92.6,102.9,59.2
3,0,浙江大学,Zhejiang University,浙江,综合,768.7,34.3,65.4,21.8,47.7,285.7,91.4,32.2,67.7,79.4,42.9
4,0,上海交通大学,Shanghai Jiao Tong University,上海,综合,723.4,35.5,53.1,21.6,44.9,260.0,98.2,18.8,65.1,86.8,39.2
5,0,南京大学,Nanjing University,江苏,综合,654.8,35.1,47.9,10.8,48.1,272.0,72.4,4.9,61.2,72.0,30.4
6,0,复旦大学,Fudan University,上海,综合,649.7,36.6,48.4,16.6,46.2,255.8,78.6,4.8,65.0,60.1,37.6
7,0,中国科学技术大学,University of Science and Technology of China,安徽,理工,577,40.0,37.7,11.9,45.9,232.1,61.4,0.8,58.6,46.6,42.1
8,0,华中科技大学,Huazhong University of Science and Technology,湖北,综合,574.3,32.1,44.7,11.3,45.2,232.2,74.2,22.9,35.2,45.2,31.3
9,0,武汉大学,Wuhan University,湖北,综合,567.9,31.8,49.6,10.4,45.7,255.4,61.7,9.5,35.0,43.0,25.7
10,1,西安交通大学,Xi'an Jiaotong University,陕西,综合,537.9,34.5,40.3,11.2,44.1,243.7,56.9,10.0,26.2,46.5,24.6
11,1,哈尔滨工业大学,Harbin Institute of Technology,黑龙江,理工,522.6,32.7,37.7,5.8,47.0,228.7,51.9,33.5,23.7,35.8,25.8
12,-2,中山大学,Sun Yat-Sen University,广东,综合,519.3,30.9,46.7,13.7,48.3,194.6,74.0,8.4,37.8,31.4,33.3
13,1,北京师范大学,Beijing Normal University,北京,师范,518.3,34.8,42.3,13.4,47.6,215.1,47.4,16.1,33.2,39.0,29.4
14,2,四川大学,Sichuan University,四川,综合,516.6,30.7,46.0,9.2,43.0,217.0,64.7,19.7,28.0,35.4,23.1
15,-2,北京航空航天大学,Beihang University,北京,理工,513.8,32.8,33.9,11.1,42.6,221.4,46.1,20.7,26.7,54.7,23.8
16,-1,同济大学,Tongji University,上海,理工,508.3,33.2,40.3,12.2,43.9,221.0,58.9,12.5,29.1,35.0,22.1
17,0,东南大学,Southeast University,江苏,综合,488.1,34.3,37.7,12.4,44.5,223.0,44.8,9.1,20.1,36.2,25.8
18,0,中国人民大学,Renmin University of China,北京,综合,487.8,34.5,42.1,10.3,46.2,224.6,39.9,0.2,31.8,42.6,15.8
19,1,北京理工大学,Beijing Institute of Technology,北京,理工,474,32.3,30.6,11.3,43.8,206.4,37.9,28.0,19.2,40.5,24.0
20,-1,南开大学,Nankai University,天津,综合,465.3,31.5,35.2,9.2,45.5,216.0,44.3,2.4,29.1,27.3,24.9
21,1,山东大学,Shandong University,山东,综合,447,28.8,39.5,9.6,44.5,205.9,50.6,4.3,20.5,21.7,21.6
22,-1,天津大学,Tianjin University,天津,理工,444.3,32.7,33.5,8.5,45.2,198.1,45.0,13.4,22.7,23.4,21.8
23,3,中南大学,Central South University,湖南,综合,442.2,30.8,37.9,7.3,42.3,186.9,55.5,16.7,16.3,24.6,24.0
24,0,吉林大学,Jilin University,吉林,综合,435.7,30.4,42.2,9.0,50.5,203.0,46.8,4.1,13.6,17.2,18.8
25,3,西北工业大学,Northwestern Polytechnical University,陕西,理工,430.5,32.4,25.6,11.6,47.0,199.5,43.2,14.6,12.9,21.2,22.5
26,-3,厦门大学,Xiamen University,福建,综合,427.8,32.7,36.7,9.4,41.6,184.6,46.5,4.8,25.3,23.1,23.1
27,-2,华南理工大学,South China University of Technology,广东,理工,419.8,30.5,33.7,9.4,42.7,183.1,41.7,12.1,18.5,21.9,26.3
28,-1,大连理工大学,Dalian University of Technology,辽宁,理工,418.2,30.2,31.0,6.4,42.9,190.5,42.9,9.0,16.4,32.2,16.8
29,0,华东师范大学,East China Normal University,上海,师范,401.8,35.2,34.4,8.0,43.1,170.8,41.2,2.9,23.2,24.0,18.8
30,0,中国农业大学,China Agricultural University,北京,农业,400.4,31.8,34.7,7.8,45.0,161.1,38.4,6.6,22.2,34.9,18.0
31,1,电子科技大学,University of Electronic Science and Technology of China,四川,理工,398.8,32.4,24.2,7.4,40.8,196.0,29.7,4.4,17.0,20.5,26.5
32,-1,湖南大学,Hunan University,湖南,综合,393.5,31.4,29.4,5.8,39.5,176.6,35.7,9.3,16.8,22.6,26.4
33,0,北京科技大学,University of Science and Technology Beijing,北京,理工,379.4,32.2,23.8,6.1,41.0,180.5,34.1,13.9,12.1,19.0,16.8
34,0,重庆大学,Chongqing University,重庆,综合,365.5,29.9,30.9,7.3,40.6,165.3,38.8,10.6,10.8,13.6,17.7
35,0,南京航空航天大学,Nanjing University of Aeronautics and Astronautics,江苏,理工,358.6,28.6,22.9,3.3,40.3,185.7,28.0,11.3,10.9,13.7,13.9
36,1,东北大学,Northeastern University,辽宁,理工,356.1,32.2,26.0,5.8,38.1,172.8,32.3,11.5,10.1,14.9,12.3
37,-1,南京理工大学,Nanjing University of Science and Technology,江苏,理工,356,30.9,24.2,3.2,40.0,173.5,26.5,14.3,8.3,18.9,16.2
38,3,西安电子科技大学,Xidian University,陕西,理工,355.1,30.2,19.4,5.2,37.6,178.9,27.5,19.4,6.8,17.0,13.0
39,1,兰州大学,Lanzhou University,甘肃,综合,353.4,30.6,27.8,5.7,37.5,168.2,33.8,3.1,12.4,18.9,15.3
40,3,北京交通大学,Beijing jiaotong University,北京,理工,349.9,32.0,26.3,6.2,39.7,170.7,26.3,10.0,8.6,16.2,13.8
41,5,南方科技大学,Southern University of Science and Technology,广东,综合,345.8,28.9,9.5,19.5,46.7,127.9,36.1,5.2,44.8,8.5,18.6
42,-3,华中农业大学,Huazhong Agricultural University,湖北,农业,338.5,28.5,27.4,4.8,38.0,156.5,34.0,1.5,14.5,17.1,16.0
43,2,上海大学,Shanghai University,上海,综合,333,31.7,26.6,6.5,37.9,147.7,27.6,7.9,12.5,15.1,19.5
44,-6,苏州大学,Soochow University (China),江苏,综合,327,28.7,31.2,5.8,41.2,120.0,33.2,8.1,14.4,16.8,27.8
45,-3,华东理工大学,East China University of Science and Technology,上海,理工,324.5,29.7,20.2,5.5,39.3,149.8,29.7,7.5,13.1,13.6,16.0
46,-2,华中师范大学,Central China Normal University,湖北,师范,322,30.6,26.0,5.0,37.9,149.8,28.8,0.2,11.7,12.8,19.3
47,3,南京师范大学,Nanjing Normal University,江苏,师范,321.3,29.5,26.0,3.9,38.6,158.4,23.7,2.3,10.9,12.9,15.1
48,6,中国地质大学（武汉）,China University of Geosciences (Wuhan),湖北,理工,320.2,29.9,23.7,5.0,39.5,146.6,25.6,13.9,10.9,8.5,16.8
49,7,东北师范大学,Northeast Normal University,吉林,师范,319.7,33.1,25.2,4.3,38.2,155.9,28.4,0.8,8.9,13.2,11.7
50,1,哈尔滨工程大学,Harbin Engineering University,黑龙江,理工,319,29.3,19.8,3.8,36.9,166.4,24.8,13.6,5.1,7.3,12.1
51,2,西南交通大学,Southwest Jiaotong University,四川,理工,318,28.7,23.8,5.9,34.0,165.2,24.1,6.7,6.5,12.1,11.2
52,-5,南京农业大学,Nanjing Agricultural University,江苏,农业,316.1,29.2,26.9,4.2,38.5,134.9,30.7,3.2,13.3,19.7,15.6
53,30,郑州大学,Zhengzhou University,河南,综合,312.8,26.3,28.6,9.6,37.1,153.3,29.8,1.6,5.6,5.1,15.7
